,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Manufacturer,Price_km
4201,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2011,77000,Diesel,Manual,First,1199.0,73.9,5.0,2.9,Volkswagen,1375.6231
4383,Hyundai i10 Sportz,Hyderabad,2016,19947,Petrol,Manual,First,1197.0,78.9,5.0,4.5,Hyundai,1417.6668
1779,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,2179.0,140.0,7.0,7.83,Mahindra,941.183
4020,Maruti Swift VDI BSIV,Kolkata,2013,115195,Diesel,Manual,First,1248.0,74.0,5.0,3.85,Maruti,1570.716
3248,Volkswagen Polo Petrol Trendline 1.2L,Kochi,2011,58752,Petrol,Manual,First,1198.0,73.9,5.0,3.32,Volkswagen,1146.8060999999998
4591,Audi A4 35 TDI Technology Edition,Kochi,2019,38163,Diesel,Automatic,First,1968.0,174.33,5.0,32.91,Audi,1066.4663
3559,Mahindra Ssangyong Rexton RX7,Ahmedabad,2013,80000,Diesel,Automatic,Second,2696.0,184.0,7.0,9.5,Mahindra,696.8494
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,Automatic,First,1968.0,141.0,5.0,10.75,Skoda,1202.969
2586,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2014,57773,Diesel,Automatic,Second,1968.0,174.33,5.0,20.04,Audi,1066.4663
1189,Honda City V MT,Chennai,2014,30000,Petrol,Manual,Second,1497.0,116.3,5.0,6.0,Honda,1169.7839999999999
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,1598.0,103.6,5.0,4.45,Volkswagen,1002.6719999999999
5967,Maruti Ertiga VXI,Bangalore,2014,42000,Petrol,Manual,Second,1373.0,93.7,7.0,5.94,Maruti,1115.4725999999998
927,Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,Manual,First,1582.0,126.2,5.0,9.25,Hyundai,1226.0311000000002
